func,trace_id,category_id,id,memory,file_path
alexnet,83,1,556ccf8758c8c2a20082c161e955405e950439f0503522fe129e709a5dc0e58f,1024,alexnet.py
efficientnet,83,1,653cdbc309bc359f3289d3b4df21c4a8e478d22946b35cbfdab05377dcacd3e0,1024,efficientnet.py
bert,27,2,8e5f533dbf1092f56ac6c7542ef3bdec4661bd442c9b5e7537fabc7b8c03f5a8,1024,bert.py
distilgpt2,27,2,eb58570e8784a01a3ce5732980003c1c85f9028364b97ed1f1a6d1384507b8c2,1024,distilgpt2.py
resnet50,20,3,89d488538f940c98367ff572230106d1089868bdd379d9e2b9755b679dc186d2,1024,resnet50.py
googlenet,20,3,b89efb5e9d1b7e5900ef441b098d4c8b01600af5e673a9f9d607b3598f0fe548,1024,googlenet.py
inception,20,3,e5298aafdbabecd1465ab0eeb24d7633ac7de0284f7ee075209b119c297a3622,1024,inception.py
