func,trace_id,category_id,id,memory,file_path
alexnet,59,1,1f33077bb2db73fd76a51e40e43f20173e3f038dd3f3705551751cf7724c3c40,1024,alexnet.py
efficientnet,59,1,cd9f7f333d59aede8088772edac3bff78c45e2dad8eb498b450b9af511452a36,1024,efficientnet.py
bert,52,2,9b61fd55aa093a2d172db1a68a60af5cf6cbfa7f5ea1fbc71846027a5954616d,1024,bert.py
distilgpt2,52,2,762835950e81a11cd04cedcb05275dc111c651625d575077fce49f82170e0986,1024,distilgpt2.py
resnet50,52,3,c9f8e30e36d1aef62c10b3cfca6e289a93848a148d876dd514753040314f4817,1024,resnet50.py
googlenet,3,3,313c03f53a0d31f70aec25f62efb33e7dd779725ca4af579018452d1204beaad,1024,googlenet.py
inception,3,3,556ccf8758c8c2a20082c161e955405e950439f0503522fe129e709a5dc0e58f,1024,inception.py
