func,trace_id,category_id,id,memory,file_path
alexnet,34,1,32c6e2d6d752d3c30c43a9891766d887e0d25d388034459828b1913fb62f482a,1024,alexnet.py
efficientnet,34,1,556ccf8758c8c2a20082c161e955405e950439f0503522fe129e709a5dc0e58f,1024,efficientnet.py
bert,77,2,9b61fd55aa093a2d172db1a68a60af5cf6cbfa7f5ea1fbc71846027a5954616d,1024,bert.py
distilgpt2,77,2,b5e597c31a20d9046084e9b5365a5151a3cb4a3634f0d24e2e3ddbabc4ef48cd,1024,distilgpt2.py
resnet50,71,3,1bfbf6e1f849d22a0ece669507eb055525edf6929f273b999d865d52ea086a82,1024,resnet50.py
googlenet,71,3,eefb3a7b86d12c2676276a5dde28099ef6f546a60e5b78e0a1c2b7221baf154d,1024,googlenet.py
inception,71,3,1cf618f9ee318fecbc31aa059ded8328581b9a9b092f1069b9f7679b6f89e52e,1024,inception.py
