func,CoV,total_requests,trace_id,id,memory,filepath
alexnet,5.784816323440351,62,40,ec5e0d5b0edaab92fc4bc2ae62461a9068673e155929f1409a413440f25f4a11,1024,alexnet.py
efficientnet,9.707630773679835,63,53,e09dddbcb72e0cbc5c9b775bdfd4dce5913b972c3a71ebf3f682fc8e2ae2971b,1024,efficientnet.py
bert,11.110847736510049,111,12,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,1024,bert.py
distilgpt2,15.45962483374032,112,65,50242e50bdc20d4a9468e40a01658f98198029fef100710fa9a82db3c3101ff9,1024,distilgpt2.py
resnet50,5.0717023189527355,155,15,eafaad5acf5d68a876c0fe609024baa3e901700c7a19a8ea8f435c73e8ecc314,1024,resnet50.py
googlenet,10.264734975101923,218,52,ae6f97c69d684b23e45ce195db1da6d3853004596e39b78688a763c8bbd32b47,1024,googlenet.py
inception,7.755489922343905,263,55,30aa434528bc68ee07745ee7be3a0bdb33d58961fdc8460ce5b5b46b4def96e8,1024,inception.py
