func,CoV,total_requests,trace_id,id,memory,filepath
alexnet,2.5631868058853424,71,14,1cf618f9ee318fecbc31aa059ded8328581b9a9b092f1069b9f7679b6f89e52e,1024,alexnet.py
efficientnet,3.5307139613858727,73,5,cc5bb2108cc7daf53f9728ad21f661a8ef9c8b36284bacfcb712e2be87eef842,1024,efficientnet.py
bert,3.941138651418477,106,23,ce872156aeace3e8141b278f60c55f3eb344bf25cc612eca0d400e3c38d3b753,1024,bert.py
distilgpt2,2.705942387226155,107,14,1bfbf6e1f849d22a0ece669507eb055525edf6929f273b999d865d52ea086a82,1024,distilgpt2.py
resnet50,2.603167845219549,155,77,bd34d747bf67247a686b958802ebe65c048d6d3af170f227d2c969be13c07ae8,1024,resnet50.py
googlenet,1.9791501140238774,157,82,e40593c3e6576988521de38142553e9f894d32374d11a03979fe3ef18d848eff,1024,googlenet.py
inception,3.8727040512372537,172,24,ec5e0d5b0edaab92fc4bc2ae62461a9068673e155929f1409a413440f25f4a11,1024,inception.py
